,RID
2018,904
2019,904
2020,906
2021,906
2022,906
2023,906
2024,906
2025,907
2026,907
2027,907
2028,907
2029,908
2030,908
2031,908
2032,908
2033,908
2034,909
2035,909
2036,909
2037,909
2038,909
2039,912
2040,912
2041,912
2042,912
2043,913
2044,913
2045,913
2046,913
2047,914
2048,914
2049,914
2050,914
2051,914
2052,915
2053,915
2054,915
2055,915
2056,916
2057,916
2058,916
2059,917
2060,917
2061,919
2062,919
2063,919
2064,919
2065,919
2066,920
2067,920
2068,920
2069,921
2070,921
2071,921
2072,921
2073,921
2074,922
2075,922
2076,922
2077,922
2078,923
2079,923
2080,923
2081,924
2082,924
2083,925
2084,925
2085,925
2086,925
2087,925
2088,926
2089,926
2090,926
2091,926
2092,928
2093,928
2094,928
2095,928
2096,929
2097,930
2098,930
2099,930
2100,931
2101,931
2102,932
2103,932
2104,932
2105,932
2106,932
2107,934
2108,934
2109,934
2110,934
2111,938
2112,938
2113,938
2114,938
2115,941
2116,941
2117,941
2118,941
2119,941
2120,945
2121,945
2122,945
2123,945
2124,945
2125,947
2126,947
2127,947
2128,947
2129,950
2130,950
2131,950
2132,950
2133,950
2134,951
2135,951
2136,951
2137,951
2138,954
2139,954
2140,954
2141,955
2142,955
2143,956
2144,956
2145,956
2146,957
2147,957
2148,961
2149,961
2150,961
2151,961
2152,961
2153,963
2154,963
2155,963
2156,963
2157,967
2158,967
2159,967
2160,967
2161,969
2162,969
2163,969
2164,972
2165,972
2166,972
2167,972
2168,973
2169,973
2170,973
2171,973
2172,973
2173,976
2174,976
2175,976
2176,976
2177,976
2178,976
2179,978
2180,978
2181,978
2182,978
2183,978
2184,979
2185,979
2186,979
2187,979
2188,981
2189,981
2190,981
2191,981
2192,982
2193,982
2194,982
2195,982
2196,984
2197,984
2198,984
2199,984
2200,984
2201,985
2202,985
2203,985
2204,987
2205,987
2206,989
2207,989
2208,989
2209,989
2210,991
2211,991
2212,991
2213,991
2214,994
2215,994
2216,994
2217,994
2218,994
2219,995
2220,995
2221,995
2222,995
2223,995
2224,996
2225,996
2226,997
2227,997
2228,997
2229,997
2230,997
2231,997
2232,999
2233,999
2234,1001
2235,1001
2236,1001
2237,1002
2238,1002
2239,1002
2240,1002
2241,1002
2242,1004
2243,1004
2244,1004
2245,1004
2246,1007
2247,1007
2248,1007
2249,1007
2250,1007
2251,1009
2252,1009
2253,1009
2254,1009
2255,1010
2256,1010
2257,1010
2258,1010
2259,1010
2260,1013
2261,1013
2262,1014
2263,1014
2264,1015
2265,1015
2266,1016
2267,1016
2268,1016
2269,1016
2270,1018
2271,1018
2272,1018
2273,1018
2274,1021
2275,1021
2276,1023
2277,1023
2278,1023
2279,1023
2280,1023
2281,1024
2282,1024
2283,1027
2284,1027
2285,1027
2286,1028
2287,1028
2288,1028
2289,1028
2290,1028
2291,1030
2292,1030
2293,1030
2294,1030
2295,1030
2296,1031
2297,1031
2298,1031
2299,1031
2300,1032
2301,1032
2302,1032
2303,1032
2304,1033
2305,1033
2306,1033
2307,1034
2308,1034
2309,1034
2310,1034
2311,1034
2312,1035
2313,1035
2314,1035
2315,1035
2316,1037
2317,1037
2318,1038
2319,1038
2320,1040
2321,1040
2322,1041
2323,1041
2324,1041
2325,1041
2326,1043
2327,1043
2328,1043
2329,1043
2330,1044
2331,1044
2332,1044
2333,1045
2334,1045
2335,1045
2336,1045
2337,1046
2338,1046
2339,1046
2340,1046
2341,1046
2342,1051
2343,1051
2344,1052
2345,1052
2346,1052
2347,1054
2348,1054
2349,1054
2350,1054
2351,1054
2352,1055
2353,1055
2354,1056
2355,1056
2356,1056
2357,1057
2358,1057
2359,1057
2360,1057
2361,1057
2362,1059
2363,1059
2364,1059
2365,1062
2366,1062
2367,1062
2368,1062
2369,1063
2370,1063
2371,1063
2372,1063
2373,1066
2374,1066
2375,1066
2376,1066
2377,1066
2378,1070
2379,1070
2380,1070
2381,1070
2382,1070
2383,1072
2384,1072
2385,1072
2386,1072
2387,1072
2388,1073
2389,1073
2390,1073
2391,1073
2392,1073
2393,1073
2394,1074
2395,1074
2396,1074
2397,1074
2398,1075
2399,1075
2400,1075
2401,1077
2402,1077
2403,1077
2404,1077
2405,1077
2406,1078
2407,1078
2408,1078
2409,1078
2410,1078
2411,1078
2412,1079
2413,1079
2414,1080
2415,1080
2416,1080
2417,1080
2418,1080
2419,1081
2420,1081
2421,1081
2422,1081
2423,1082
2424,1082
2425,1082
2426,1082
2427,1083
2428,1083
2429,1086
2430,1088
2431,1088
2432,1088
2433,1090
2434,1090
2435,1092
2436,1092
2437,1092
2438,1092
2439,1094
2440,1094
2441,1094
2442,1095
2443,1095
2444,1095
2445,1097
2446,1097
2447,1097
2448,1097
2449,1097
2450,1098
2451,1098
2452,1098
2453,1098
2454,1099
2455,1099
2456,1099
2457,1101
2458,1101
2459,1101
2460,1102
2461,1102
2462,1103
2463,1103
2464,1103
2465,1103
2466,1104
2467,1104
2468,1106
2469,1106
2470,1106
2471,1106
2472,1109
2473,1109
2474,1109
2475,1109
2476,1113
2477,1113
2478,1114
2479,1114
2480,1114
2481,1114
2482,1114
2483,1116
2484,1116
2485,1116
2486,1116
2487,1117
2488,1117
2489,1117
2490,1117
2491,1118
2492,1118
2493,1118
2494,1118
2495,1118
2496,1118
2497,1119
2498,1119
2499,1119
2500,1120
2501,1120
2502,1120
2503,1120
2504,1121
2505,1121
2506,1121
2507,1121
2508,1121
2509,1121
2510,1122
2511,1122
2512,1122
2513,1122
2514,1122
2515,1122
2516,1123
2517,1123
2518,1123
2519,1123
2520,1123
2521,1126
2522,1126
2523,1126
2524,1126
2525,1126
2526,1130
2527,1130
2528,1130
2529,1130
2530,1130
2531,1131
2532,1131
2533,1131
2534,1131
2535,1131
2536,1133
2537,1133
2538,1133
2539,1133
2540,1133
2541,1135
2542,1135
2543,1135
2544,1135
2545,1135
2546,1137
2547,1137
2548,1137
2549,1138
2550,1138
2551,1140
2552,1140
2553,1140
2554,1140
2555,1140
2556,1140
2557,1144
2558,1144
2559,1144
2560,1144
2561,1148
2562,1148
2563,1148
2564,1148
2565,1149
